# Moon CENTER apparent topocentric declination measurements
# from Tycho Brahe, Uraniborg 1586 (tycho*.py suite).
# 154 observations.
# Columns: iso_utc  source  horn    dec_raw_deg  dec_center_deg  jd_tt
1586-02-02 23:01:45.797     tycho3    lower    +14.508333   +14.781650  2300367.45993033
1586-02-02 23:03:15.797     tycho3    lower    +14.525000   +14.798319  2300367.46097200
1586-02-02 23:29:45.797     tycho3    upper    +15.093750   +14.820420  2300367.47937478
1586-02-02 23:30:15.797     tycho3    upper    +15.108333   +14.835004  2300367.47972200
1586-02-02 23:48:23.297     tycho3    lower    +14.420833   +14.694152  2300367.49230880
1586-02-02 23:49:23.297     tycho3    lower    +14.433333   +14.706651  2300367.49300325
1586-02-02 23:53:45.797     tycho3    upper    +15.016667   +14.743354  2300367.49604144
1586-02-02 23:54:53.297     tycho3    upper    +15.008333   +14.735022  2300367.49682269
1586-02-13 06:58:09.865     tycho4    upper    -19.816667   -20.069462  2300377.79076445
1586-02-13 07:00:09.865     tycho4    lower    -20.300000   -20.047196  2300377.79215334
1586-02-13 07:07:09.865     tycho4    upper    -19.816667   -20.069489  2300377.79701445
1586-02-13 07:09:09.865     tycho4    lower    -20.283333   -20.030508  2300377.79840334
1586-02-13 07:20:09.865     tycho4    upper    -19.800000   -20.052830  2300377.80604223
1586-02-13 07:20:09.865     tycho4    lower    -20.250000   -19.997170  2300377.80604223
1586-02-13 07:20:09.865     tycho4    center   -19.991667   -19.991667  2300377.80604223
1586-02-13 07:20:09.865     tycho4    center   -19.975000   -19.975000  2300377.80604223
1586-02-13 07:26:09.865     tycho4    upper    -19.808333   -20.061160  2300377.81020890
1586-02-13 07:26:09.865     tycho4    lower    -20.250000   -19.997174  2300377.81020890
1586-10-03 01:56:15.586     tycho5    upper    +17.300000   +17.050369  2300609.58110845
1586-10-03 01:56:15.586     tycho5    upper    +17.293750   +17.044119  2300609.58110845
1586-10-03 02:05:15.586     tycho5    upper    +17.308333   +17.058677  2300609.58735845
1586-10-03 02:05:15.586     tycho5    lower    +16.750000   +16.999656  2300609.58735845
1586-10-03 02:25:45.586     tycho5    lower    +16.762500   +17.012201  2300609.60159456
1586-10-03 02:25:45.586     tycho5    upper    +17.316667   +17.066966  2300609.60159456
1586-10-03 02:48:15.586     tycho5    upper    +17.341667   +17.091935  2300609.61721956
1586-10-03 02:48:15.586     tycho5    lower    +16.791667   +17.041398  2300609.61721956
1586-10-03 02:51:15.586     tycho5    upper    +17.325000   +17.075266  2300609.61930290
1586-10-03 02:51:15.586     tycho5    lower    +16.758333   +17.008068  2300609.61930290
1586-10-04 03:05:57.730     tycho6    upper    +18.133333   +17.882398  2300610.62951289
1586-10-04 03:05:57.730     tycho6    lower    +17.616667   +17.867602  2300610.62951289
1586-10-04 03:29:57.730     tycho6    upper    +18.133333   +17.882349  2300610.64617956
1586-10-04 03:29:57.730     tycho6    lower    +17.620833   +17.871818  2300610.64617956
1586-10-04 03:43:57.730     tycho6    upper    +18.150000   +17.898997  2300610.65590178
1586-10-04 03:43:57.730     tycho6    lower    +17.650000   +17.901003  2300610.65590178
1586-10-04 08:32:57.730     tycho6    upper    +18.058333   +17.808400  2300610.85659622
1586-10-04 08:33:57.730     tycho6    upper    +18.083333   +17.833407  2300610.85729067
1586-10-04 08:35:57.730     tycho6    upper    +18.058333   +17.808422  2300610.85867956
1586-10-04 08:52:57.730     tycho6    upper    +18.100000   +17.850217  2300610.87048511
1586-10-04 08:54:27.730     tycho6    upper    +18.100000   +17.850228  2300610.87152678
1586-10-04 08:55:42.730     tycho6    upper    +18.093750   +17.843988  2300610.87239483
1586-10-04 09:11:57.730     tycho6    upper    +18.083333   +17.833697  2300610.88367956
1586-10-04 09:13:27.730     tycho6    upper    +18.075000   +17.825376  2300610.88472122
1586-10-04 09:14:57.730     tycho6    upper    +18.083333   +17.833721  2300610.88576289
1586-10-06 07:29:23.135     tycho7    lower    +16.116667   +16.371566  2300612.81244582
1586-10-06 07:55:23.135     tycho7    lower    +16.075000   +16.329816  2300612.83050138
1586-10-06 07:57:23.135     tycho7    upper    +16.505556   +16.250747  2300612.83189027
1586-10-06 07:59:23.135     tycho7    upper    +16.522222   +16.267421  2300612.83327916
1586-10-06 08:00:23.135     tycho7    upper    +16.522222   +16.267425  2300612.83397360
1586-10-06 08:01:23.135     tycho7    lower    +16.058333   +16.313127  2300612.83466804
1586-10-06 08:02:23.135     tycho7    lower    +16.050000   +16.304790  2300612.83536249
1586-10-06 08:14:53.135     tycho7    upper    +16.483333   +16.228594  2300612.84404304
1586-10-06 08:16:53.135     tycho7    upper    +16.487500   +16.232769  2300612.84543193
1586-10-06 08:17:53.135     tycho7    lower    +16.033333   +16.288060  2300612.84612638
1586-10-06 08:19:23.135     tycho7    lower    +16.029167   +16.283887  2300612.84716804
1586-10-06 08:47:43.135     tycho7    upper    +16.441667   +16.187080  2300612.86684397
1586-10-06 08:49:23.135     tycho7    lower    +15.987500   +16.242078  2300612.86800138
1586-10-06 09:21:53.135     tycho7    upper    +16.375000   +16.120602  2300612.89057082
1586-10-06 09:25:00.635     tycho7    lower    +15.905556   +16.159934  2300612.89274096
1586-10-06 09:26:23.135     tycho7    lower    +15.911111   +16.165482  2300612.89369582
1586-10-20 17:35:14.022     tycho8    lower    -13.487500   -13.235345  2300627.23317368
1586-10-20 17:35:14.022     tycho8    upper    -13.041667   -13.293821  2300627.23317368
1586-10-20 18:06:14.022     tycho8    upper    -13.033333   -13.285462  2300627.25470146
1586-10-20 18:06:14.022     tycho8    lower    -13.466667   -13.214538  2300627.25470146
1586-10-20 18:16:14.022     tycho8    upper    -12.958333   -13.210446  2300627.26164590
1586-10-20 18:16:14.022     tycho8    center   -13.216667   -13.216667  2300627.26164590
1586-10-23 19:23:48.032     tycho9    upper     -2.350000    -2.597146  2300630.30856732
1586-10-23 19:43:48.032     tycho9    upper     -2.333333    -2.580504  2300630.32245621
1586-10-23 19:44:58.032     tycho9    lower     -2.816667    -2.569495  2300630.32326639
1586-10-23 19:46:18.032     tycho9    lower     -2.850000    -2.602827  2300630.32419232
1586-10-23 19:47:18.032     tycho9    lower     -2.850000    -2.602826  2300630.32488676
1586-10-23 20:19:48.032     tycho9    upper     -2.187500    -2.434676  2300630.34745621
1586-10-23 20:19:48.032     tycho9    lower     -2.733333    -2.486157  2300630.34745621
1586-10-24 18:21:50.705     tycho10   upper     +1.250000    +1.003931  2300631.26554270
1586-10-24 18:24:00.705     tycho10   lower     +0.725000    +0.971081  2300631.26704733
1586-10-24 18:40:20.705     tycho10   upper     +1.291667    +1.045500  2300631.27838992
1586-10-24 18:42:00.705     tycho10   lower     +0.766667    +1.012842  2300631.27954733
1586-10-24 18:57:50.705     tycho10   upper     +1.383333    +1.137084  2300631.29054270
1586-10-24 18:59:40.705     tycho10   lower     +0.833333    +1.079591  2300631.29181584
1586-10-24 19:00:40.705     tycho10   upper     +1.350000    +1.103738  2300631.29251029
1586-10-26 20:22:58.152     tycho11   upper     +8.791667    +8.545452  2300633.34965667
1586-10-26 20:24:28.152     tycho11   lower     +8.275000    +8.521222  2300633.35069834
1586-10-26 20:42:13.152     tycho11   upper     +8.837500    +8.591196  2300633.36302472
1586-10-26 20:43:38.152     tycho11   lower     +8.304167    +8.550476  2300633.36400852
1586-10-28 22:17:18.507     tycho12   upper    +14.783333   +14.536423  2300635.42905892
1586-10-28 22:19:18.507     tycho12   lower    +14.225000   +14.471919  2300635.43044781
1586-10-28 22:42:18.507     tycho12   upper    +14.808333   +14.561333  2300635.44642003
1586-10-28 22:44:18.507     tycho12   lower    +14.266667   +14.513673  2300635.44780892
1586-11-01 04:01:08.426     tycho13   upper    +18.133333   +17.884923  2300638.66783114
1586-11-01 04:01:08.426     tycho13   lower    +17.616667   +17.865077  2300638.66783114
1586-11-01 04:41:08.426     tycho13   upper    +18.183333   +17.935051  2300638.69560892
1586-11-01 04:41:08.426     tycho13   lower    +17.633333   +17.881615  2300638.69560892
1586-11-02 04:57:07.909     tycho14   upper    +17.211111   +16.961544  2300639.70671404
