# Moon CENTER apparent topocentric declination observations
# IDENTICAL timestamps to moon_dec_observations.dat, but the
# declination column is replaced by the exact JPL DE441
# topocentric apparent declination at Uraniborg (Bennett
# refraction applied, matching tycho*.py apparent_of_date()).
# 70 observations.
# Columns: iso_utc  source  tag    dec_center_deg  jd_tt
1586-02-02 23:15:45.797     tycho3    pair     +14.822306  2300367.46965255
1586-02-02 23:16:45.797     tycho3    pair     +14.820049  2300367.47034700
1586-02-02 23:51:04.547     tycho3    pair     +14.741004  2300367.49417512
1586-02-02 23:52:08.297     tycho3    pair     +14.738508  2300367.49491297
1586-02-13 06:59:09.865     tycho4    pair     -20.019562  2300377.79145890
1586-02-13 07:08:09.865     tycho4    pair     -20.018989  2300377.79770890
1586-02-13 07:20:09.865     tycho4    pair     -20.017480  2300377.80604223
1586-02-13 07:20:09.865     tycho4    center   -20.017480  2300377.80604223
1586-02-13 07:20:09.865     tycho4    center   -20.017480  2300377.80604223
1586-02-13 07:26:09.865     tycho4    pair     -20.016409  2300377.81020890
1586-10-03 02:00:45.586     tycho5    pair     +17.014927  2300609.58423345
1586-10-03 02:11:00.586     tycho5    pair     +17.025023  2300609.59135151
1586-10-03 02:37:00.586     tycho5    pair     +17.049283  2300609.60940706
1586-10-03 02:49:45.586     tycho5    pair     +17.060464  2300609.61826123
1586-10-04 03:05:57.730     tycho6    pair     +17.870643  2300610.62951289
1586-10-04 03:29:57.730     tycho6    pair     +17.877853  2300610.64617956
1586-10-04 03:43:57.730     tycho6    pair     +17.881230  2300610.65590178
1586-10-06 07:43:23.135     tycho7    pair     +16.318807  2300612.82216804
1586-10-06 07:57:23.135     tycho7    pair     +16.296855  2300612.83189027
1586-10-06 08:00:53.135     tycho7    pair     +16.291301  2300612.83432082
1586-10-06 08:08:38.135     tycho7    pair     +16.278912  2300612.83970277
1586-10-06 08:17:23.135     tycho7    pair     +16.264781  2300612.84577916
1586-10-06 08:33:33.135     tycho7    pair     +16.238299  2300612.85700601
1586-10-06 09:23:26.885     tycho7    pair     +16.154150  2300612.89165589
1586-10-20 17:35:14.022     tycho8    pair     -13.266364  2300627.23317368
1586-10-20 18:06:14.022     tycho8    pair     -13.204739  2300627.25470146
1586-10-20 18:16:14.022     tycho8    center   -13.184148  2300627.26164590
1586-10-23 19:34:23.032     tycho9    pair      -2.567700  2300630.31591685
1586-10-23 19:45:03.032     tycho9    pair      -2.540168  2300630.32332426
1586-10-23 20:19:48.032     tycho9    pair      -2.449691  2300630.34745621
1586-10-24 18:22:55.705     tycho10   pair      +1.030826  2300631.26629501
1586-10-24 18:41:10.705     tycho10   pair      +1.077284  2300631.27896862
1586-10-24 18:58:45.705     tycho10   pair      +1.122339  2300631.29117927
1586-10-26 20:23:43.152     tycho11   pair      +8.538029  2300633.35017750
1586-10-26 20:42:55.652     tycho11   pair      +8.584709  2300633.36351662
1586-10-28 22:18:18.507     tycho12   pair     +14.517820  2300635.42975336
1586-10-28 22:43:18.507     tycho12   pair     +14.562166  2300635.44711448
1586-11-01 04:01:08.426     tycho13   pair     +17.891303  2300638.66783114
1586-11-01 04:41:08.426     tycho13   pair     +17.868672  2300638.69560892
1586-11-02 04:57:07.909     tycho14   pair     +16.974421  2300639.70671404
1586-11-02 05:33:07.909     tycho14   pair     +16.929591  2300639.73171404
1586-11-02 08:02:37.909     tycho14   pair     +16.717498  2300639.83553348
1586-11-02 08:18:07.909     tycho14   pair     +16.694660  2300639.84629737
1586-11-03 04:13:08.219     tycho15   pair     +15.209459  2300640.67616207
1586-11-03 04:38:03.219     tycho15   pair     +15.169046  2300640.69346531
1586-11-03 05:00:30.719     tycho15   pair     +15.131187  2300640.70906137
1586-11-03 05:11:23.219     tycho15   pair     +15.112376  2300640.71661346
1586-11-03 05:18:53.219     tycho15   pair     +15.099225  2300640.72182179
1586-11-03 05:22:08.219     tycho15   pair     +15.093482  2300640.72407873
1586-11-03 05:24:38.219     tycho15   pair     +15.089046  2300640.72581484
1586-11-03 05:47:08.219     tycho15   pair     +15.048428  2300640.74143984
1586-11-03 05:49:53.219     tycho15   pair     +15.043379  2300640.74334957
1586-11-03 05:52:38.219     tycho15   pair     +15.038313  2300640.74525929
1586-11-03 06:25:53.219     tycho15   pair     +14.975713  2300640.76834957
1586-11-03 06:29:53.219     tycho15   pair     +14.968023  2300640.77112735
1586-11-03 06:38:08.219     tycho15   pair     +14.952062  2300640.77685651
1586-11-03 06:41:08.219     tycho15   pair     +14.946225  2300640.77893985
1586-11-04 05:06:30.224     tycho16   pair     +12.378917  2300641.71322231
1586-11-04 06:04:49.280     tycho16   pair     +12.246837  2300641.75372065
1586-11-04 06:07:02.155     tycho16   pair     +12.241680  2300641.75525856
1586-11-04 06:26:13.743     tycho16   pair     +12.196569  2300641.76858712
1586-11-04 06:29:10.911     tycho16   pair     +12.189565  2300641.77063767
1586-11-05 07:22:11.193     tycho17   pair      +8.475618  2300642.80744650
1586-11-05 07:24:41.929     tycho17   pair      +8.468515  2300642.80919112
1586-11-05 08:48:51.561     tycho17   pair      +8.227079  2300642.86763594
1586-11-05 10:24:27.039     tycho17   pair      +7.951680  2300642.93401879
1586-11-05 10:30:06.193     tycho17   pair      +7.935802  2300642.93794418
1586-11-05 10:39:38.988     tycho17   pair      +7.909231  2300642.94457375
1586-11-05 10:48:41.635     tycho17   pair      +7.884411  2300642.95085438
1586-11-05 10:52:12.664     tycho17   pair      +7.874870  2300642.95329685
