greenwich_date,jd_ephem,observer,clamp,limb,ra_h,ra_m,ra_s,ra_o_minus_c,ra_limb_corr,limb_side,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,dec_limb_corr
1963 Mar. 8.15,38096.65932,B1,,1,9,41,43.407,+1.183,+.001,N,+,15,59,44.57,-5.85,+0.24
1963 Mar. 9.19,38097.69177,Pe,W,1,10,32,31.012,+1.097,-.004,N,+,12,26,56.23,-6.42,-0.36
1963 Mar. 10.22,38098.72270,Sc,W,2,11,21,06.850,+1.090,+.075,N,,,,,-7.41,-0.25
1963 Mar. 11.25,38099.75247,Ka,W,2,12,8,02.404,+1.015,+.056,,+,4,1,,,
1963 Mar. 14.33,38102.83949,Ka,W,2,14,25,31.632,+0.951,-.029,S,,,,,-5.38,-0.56
1963 Mar. 15.36,38103.86937,Sc,W,2,15,12,36.864,+1.085,-.023,,-,12,59,19.06,-5.19,-0.78
1963 Mar. 16.39,38104.90044,Pe,W,2,16,1,25.120,+1.089,-.035,S,-,16,19,59.29,-3.81,-0.18
1963 Mar. 18.46,38106.96735,Rh,W,2,17,45,55.002,+1.237,-.092,,-,20,46,,,
1963 Apr. 3.03,38122.53999,To,W,1,8,31,55.213,+1.278,+.066,,+,19,40,,,
1963 Apr. 4.07,38123.57456,Ka,W,1,9,25,46.804,+1.190,+.029,,+,17,6,,,
1963 Apr. 5.10,38124.60723,Sc,W,1,10,16,53.801,+1.149,+011,N,+,13,44,41.35,-5.75,-0.51
1963 Apr. 6.13,38125.63826,Ki,W,,11,5,38.872,+1.141,-.008,N,,,,,-7.02,-0.34
1963 Apr. 8.19,38127.69708,Ka,W,1,12,38,27.841,+1.017,-.006,N,+,1,2,12.25,-6.91,+0.25
1963 Apr. 10.25,38129.75477,To,W,2,14,9,38.539,+0.978,-.016,S,+,7,49,41.99,-6.50,+0.15
1963 Apr. 11.28,38130.78436,Sc,38130.78436 Sc W 2 14 56 18.441 W,,14,56,18.444,+1.069,-.002,,-,11,52,48.31,-5.23,-0.01
1963 Apr. 12.31,38131.81498,K1,,2,15,44,27.889,+1.063,-.023,S,-,15,27,27.55,-4.56,+0.69
1963 Apr. 13.34,38132.84693,Pe,W,2,16,34,32.429,+1.156,-.039,S,-,18,23,23.35,-3.60,-0.90
1963 Apr. 15.41,38134.91520,Sc,W,2,18,21,00.821,+1.278,-.089,N,-,21,38,11.88,-1.00,-0.25
1963 Jun. 1.02,38181.52902,To,W,1,12,8,41.038,+1.023,+.006,,,,,,,
1963 Jun. 5.14,38185.64524,Rh,W,1,15,12,16.922,+1.121,+.042,,-,13,9,39.15,-5.91,-0.41
1963 Jun. 7.20,38187.70928,,W,1,16,52,37.738,+1.190,-.131,N,-,19,25,25.69,-3.89,-0.18
1963 Jun. 12.38,38192.88830,Ka,W,2,21,30,50.618,+1.232,+.182,N,,,,,+4.88,+0.38
1963 Jul. 2.05,38212.55928,Rh,W,1,14,54,36.205,+1.090,+.065,N,,,,,-6.06,-0.37
1963 Jul. 5.15,38215.65608,Ga,W,1,17,26,12.545,+1.214,-.144,N,,,,,-3.10,-0.33
1963 Jul. 6.19,38216.69162,Rh,W,1,18,21,28.010,+1.248,-.096,N,-,21,56,33.65,-1.15,-0.15
1963 Jul. 8.26,38218.76543,To,W,2,20,15,55.997,+1.316,+.059,N,-,20,49,17.82,+2.22,+0.22
1963 Jul. 12.40,38222.90847,Ga,W,2,23,58,14.736,+1.204,+.026,,,,,,6.92,+0.79
1963 Aug. 2.10,38243.60186,Ga,E,1,17,58,18.387,+1.232,-.133,N,-,21,34,12.64,0.91,-0.02
1963 Aug. 3.13,38244.63822,K1,E,1,18,54,45.766,+1.343,+.006,S,-,22,7,56.18,-1.08,+0.36
1963 Aug. 5.21,38246.71321,Ka,E,1,20,50,55.005,+1.321,-.067,S,-,19,28,43.84,+3.46,+0.86
1963 Aug. 6.24,38247.75044,Ga,E,2,21,48,37.169,+1.208,+.149,N,-,16,18,10.28,+4.93,+0.46
1963 Aug. 8.32,38249.82251,Ga,E,2,23,40,34.449,+1.226,+.016,N,+,7,9,03.01,7.17,+0.66
1963 Aug. 9.28,38250.85759,KI,E,2,0,35,10.429,+1.271,+.005,N,-,1,44,49.91,+7.83,+0.42
1963 Aug. 11.42,38252.92817,To,E,2,2,24,58.443,+1.258,+.029,N,+,9,5,56.70,+6.66,+0.38
1963 Aug. 31.08,38272.58359,BI,E,1,19,26,15.804,+1.350,-.022,S,-,21,59,54.10,+1.89,+0.89
1963 Sep. 2.15,38274.65866,Rh,E,1,21,22,32.619,+1.332,-.027,S,-,17,54,20.72,+4.75,+0.32
