greenwich_date,jd_ephem,observer,clamp,ra_h,ra_m,ra_s,ra_o_minus_c,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,distance_au
1963 Mar. 8.72,38097.22167,Pe,W,23,13,42.712,+0.035,-,4,58,15.20,+1.78,0.992665
1963 Mar. 15.72,38104.22038,Pe,W,23,39,26.822,+0.007,-,2,13,24.68,+1.16,0.994552
1963 Mar. 18.71,38107.21979,Rh,W,23,50,24.774,-0.005,-,1,2,20.26,-0.63,0.995397
1963 Mar. 25.71,38114.21834,Pe,W,0,15,55.334,+0.025,+,1,43,26.12,-0.23,0.997398
1963 Mar. 27.71,38116.21792,Rh,W,0,23,12.072,+0.055,,,,,-0.32,0.997965
1963 Mar. 28.71,38117.21771,KI,,0,26,50.400,+0.041,+,2,54,,,0.998247
1963 Mar. 29.71,38118.21750,Pe,W,0,30,28.775,+0.051,+,3,17,26.68,+0.35,0.998529
1963 Apr. 4.71,38124.21625,Sc,W,0,52,20.144,+0.021,+,5,36,23.57,+0.08,1.000220
1963 Apr. 6.71,38126.21585,Sc,W,0,59,38.221,+0.011,+,6,21,58.90,+0.47,1.000787
1963 Apr. 8.71,38128.21546,Rh,W,1,6,57.009,-0.050,+,7,7,07.94,+1.13,1.001358
1963 Apr. 10.71,38130.21507,Sc,W,1,14,16.915,+0.078,+,7,51,46.10,-0.04,1.001931
1963 Apr. 11.71,38131.21488,KI,W,1,17,57.074,-0.053,+,8,13,53.50,-0.59,1.002219
1963 Apr. 12.71,38132.21470,Pe,W,1,21,37.729,+0.014,+,8,35,53.87,+0.03,1.002507
1963 Apr. 14.71,38134.21434,Sc,W,1,28,59.840,-0.017,,,,,+0.12,1.003083
1963 Apr. 15.71,38135.21417,KI,W,1,32,41.482,+0.046,+,9,41,,,1.003370
1963 Apr. 16.71,38136.21400,Rh,W,1,36,23.386,-0.003,+,10,2,24.51,+0.40,1.003657
1963 Apr. 20.71,38140.21337,Sc,W,1,51,15.236,+0.085,+,11,26,16.77,-0.05,1.004791
1963 Apr. 31.71,38181.21236,,W,4,31,26.003,+0.034,+,21,52,,,1.013968
1963 Jun. 4.71,38185.21279,Rh,,,,,,,,,,+0.18,1.014542
1963 Jun. 5.71,38186.21290,Ka,W,4,51,56.199,-0.010,+,22,31,16.95,+0.37,1.014678
1963 Jun. 6.71,38187.21303,Sc,W,4,56,03.340,+0.038,+,22,37,45.07,-0.57,1.014810
1963 Jun. 7.71,38188.21315,Pe,W,5,0,10.691,-0.013,+,22,43,50.75,-0.26,1.014939
1963 Jul. 3.71,38214.21688,Rh,W,0,6,48,,+,22,58,58.27,-0.88,1.016714
1963 Jul. 4.71,38215.21701,Ga,,0,6,52,,,,,,-0.42,1.016715
1963 Jul. 5.71,38216.21713,To,W,6,56,19.028,+0.003,+,22,48,42.72,+0.21,1.016713
